subject_name,news_text,sentiment,impact_strength,mention_focus
Транснефть,"Транснефть фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Отчетность компании превзошла консенсус-прогнозы аналитиков.",0.95,0.93,0.39
Юнипро,"Аналитики отмечают устойчивость Юнипро на фоне волатильности индекса МосБиржи, бумаги изменились на 10.65%. Торговые объемы на бирже были выше средних за последние три месяца.",0.13,0.08,0.85
Магнит,"Магнит фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Магнит фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Магнит фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Магнит фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Магнит фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Магнит фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",-0.74,0.18,0.19
Делимобиль,Новости о дивидендах способствовали росту акций Делимобиль на 13.02%. На фоне геополитической неопределенности инвесторы проявляют осторожность. Отчетность компании превзошла консенсус-прогнозы аналитиков. Торговые объемы на бирже были выше средних за последние три месяца. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.,-0.92,0.45,0.96
ИКС 5,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции ИКС 5, потерявшие 3.55%. Торговые объемы на бирже были выше средних за последние три месяца. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",-0.81,0.3,0.64
ВТБ,Новости о дивидендах способствовали росту акций ВТБ на 4.84%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. На фоне геополитической неопределенности инвесторы проявляют осторожность. Новости о дивидендах способствовали росту акций ВТБ на 4.84%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. На фоне геополитической неопределенности инвесторы проявляют осторожность. Новости о дивидендах способствовали росту акций ВТБ на 4.84%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. На фоне геополитической неопределенности инвесторы проявляют осторожность. Новости о дивидендах способствовали росту акций ВТБ на 4.84%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. На фоне геополитической неопределенности инвесторы проявляют осторожность. Новости о дивидендах способствовали росту акций ВТБ на 4.84%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. На фоне геополитической неопределенности и,0.39,0.39,0.68
Татнефть,"Несмотря на сильную отчетность, акции Татнефть снизились на 14.29%, что связано с общим настроением на рынке. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.",-1.0,0.3,0.96
Аэрофлот,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Аэрофлот, акции которой потеряли 12.32%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.",-0.82,0.82,0.68
Лукойл,"По итогам всех сессий бумаги Лукойл выросли на 10.85%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",0.54,0.81,0.94
ПИК,"ПИК фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Торговые объемы на бирже были выше средних за последние три месяца.",0.18,0.35,0.13
