prompt,response
"
Ты — финансовый аналитик. Оцени следующую новость относительно её влияния на стоимость акций компании Транснефть.

Заполни три признака:

1. sentiment — тон новости относительно компании (от -1.00 - отрицательный до +1.00 - положительный)
2. impact_strength — сила потенциального влияния на цену акций (от 0.00 - не влияет до 1.00 - сильно влияет)
3. mention_focus — насколько явно и подробно упоминается компания (от 0.00 - не упомянута до 1.00 - явно и подробно)

Ответ в формате:
sentiment: [значение]
impact_strength: [значение]
mention_focus: [значение]

Далее текст новости, которую нужно оценить:
Транснефть фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Отчетность компании превзошла консенсус-прогнозы аналитиков.
","sentiment: 0.95
impact_strength: 0.93
mention_focus: 0.39"
"
Ты — финансовый аналитик. Оцени следующую новость относительно её влияния на стоимость акций компании Юнипро.

Заполни три признака:

1. sentiment — тон новости относительно компании (от -1.00 - отрицательный до +1.00 - положительный)
2. impact_strength — сила потенциального влияния на цену акций (от 0.00 - не влияет до 1.00 - сильно влияет)
3. mention_focus — насколько явно и подробно упоминается компания (от 0.00 - не упомянута до 1.00 - явно и подробно)

Ответ в формате:
sentiment: [значение]
impact_strength: [значение]
mention_focus: [значение]

Далее текст новости, которую нужно оценить:
Аналитики отмечают устойчивость Юнипро на фоне волатильности индекса МосБиржи, бумаги изменились на 10.65%. Торговые объемы на бирже были выше средних за последние три месяца.
","sentiment: 0.13
impact_strength: 0.08
mention_focus: 0.85"
"
Ты — финансовый аналитик. Оцени следующую новость относительно её влияния на стоимость акций компании Магнит.

Заполни три признака:

1. sentiment — тон новости относительно компании (от -1.00 - отрицательный до +1.00 - положительный)
2. impact_strength — сила потенциального влияния на цену акций (от 0.00 - не влияет до 1.00 - сильно влияет)
3. mention_focus — насколько явно и подробно упоминается компания (от 0.00 - не упомянута до 1.00 - явно и подробно)

Ответ в формате:
sentiment: [значение]
impact_strength: [значение]
mention_focus: [значение]

Далее текст новости, которую нужно оценить:
Магнит фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.
","sentiment: -0.74
impact_strength: 0.18
mention_focus: 0.19"
"
Ты — финансовый аналитик. Оцени следующую новость относительно её влияния на стоимость акций компании Делимобиль.

Заполни три признака:

1. sentiment — тон новости относительно компании (от -1.00 - отрицательный до +1.00 - положительный)
2. impact_strength — сила потенциального влияния на цену акций (от 0.00 - не влияет до 1.00 - сильно влияет)
3. mention_focus — насколько явно и подробно упоминается компания (от 0.00 - не упомянута до 1.00 - явно и подробно)

Ответ в формате:
sentiment: [значение]
impact_strength: [значение]
mention_focus: [значение]

Далее текст новости, которую нужно оценить:
Новости о дивидендах способствовали росту акций Делимобиль на 13.02%. На фоне геополитической неопределенности инвесторы проявляют осторожность. Отчетность компании превзошла консенсус-прогнозы аналитиков. Торговые объемы на бирже были выше средних за последние три месяца. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.
","sentiment: 0.62
impact_strength: 0.45
mention_focus: 0.89"
"
Ты — финансовый аналитик. Оцени следующую новость относительно её влияния на стоимость акций компании ИКС 5.

Заполни три признака:

1. sentiment — тон новости относительно компании (от -1.00 - отрицательный до +1.00 - положительный)
2. impact_strength — сила потенциального влияния на цену акций (от 0.00 - не влияет до 1.00 - сильно влияет)
3. mention_focus — насколько явно и подробно упоминается компания (от 0.00 - не упомянута до 1.00 - явно и подробно)

Ответ в формате:
sentiment: [значение]
impact_strength: [значение]
mention_focus: [значение]

Далее текст новости, которую нужно оценить:
Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции ИКС 5, потерявшие 3.55%. Торговые объемы на бирже были выше средних за последние три месяца. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Эксперты предупреждают о возможной фиксации прибыли инвесторами.
","sentiment: -0.81
impact_strength: 0.3
mention_focus: 0.64"
"
Ты — финансовый аналитик. Оцени следующую новость относительно её влияния на стоимость акций компании ВТБ.

Заполни три признака:

1. sentiment — тон новости относительно компании (от -1.00 - отрицательный до +1.00 - положительный)
2. impact_strength — сила потенциального влияния на цену акций (от 0.00 - не влияет до 1.00 - сильно влияет)
3. mention_focus — насколько явно и подробно упоминается компания (от 0.00 - не упомянута до 1.00 - явно и подробно)

Ответ в формате:
sentiment: [значение]
impact_strength: [значение]
mention_focus: [значение]

Далее текст новости, которую нужно оценить:
Новости о дивидендах способствовали росту акций ВТБ на 4.84%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. На фоне геополитической неопределенности инвесторы проявляют осторожность. На фоне геополитической неопределенности и
","sentiment: 0.39
impact_strength: 0.39
mention_focus: 0.68"
"
Ты — финансовый аналитик. Оцени следующую новость относительно её влияния на стоимость акций компании Татнефть.

Заполни три признака:

1. sentiment — тон новости относительно компании (от -1.00 - отрицательный до +1.00 - положительный)
2. impact_strength — сила потенциального влияния на цену акций (от 0.00 - не влияет до 1.00 - сильно влияет)
3. mention_focus — насколько явно и подробно упоминается компания (от 0.00 - не упомянута до 1.00 - явно и подробно)

Ответ в формате:
sentiment: [значение]
impact_strength: [значение]
mention_focus: [значение]

Далее текст новости, которую нужно оценить:
Несмотря на сильную отчетность, акции Татнефть снизились на 14.29%, что связано с общим настроением на рынке. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.
","sentiment: -1.0
impact_strength: 0.3
mention_focus: 0.96"
"
Ты — финансовый аналитик. Оцени следующую новость относительно её влияния на стоимость акций компании Аэрофлот.

Заполни три признака:

1. sentiment — тон новости относительно компании (от -1.00 - отрицательный до +1.00 - положительный)
2. impact_strength — сила потенциального влияния на цену акций (от 0.00 - не влияет до 1.00 - сильно влияет)
3. mention_focus — насколько явно и подробно упоминается компания (от 0.00 - не упомянута до 1.00 - явно и подробно)

Ответ в формате:
sentiment: [значение]
impact_strength: [значение]
mention_focus: [значение]

Далее текст новости, которую нужно оценить:
Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Аэрофлот, акции которой потеряли 12.32%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.
","sentiment: -0.82
impact_strength: 0.82
mention_focus: 0.68"
"
Ты — финансовый аналитик. Оцени следующую новость относительно её влияния на стоимость акций компании Лукойл.

Заполни три признака:

1. sentiment — тон новости относительно компании (от -1.00 - отрицательный до +1.00 - положительный)
2. impact_strength — сила потенциального влияния на цену акций (от 0.00 - не влияет до 1.00 - сильно влияет)
3. mention_focus — насколько явно и подробно упоминается компания (от 0.00 - не упомянута до 1.00 - явно и подробно)

Ответ в формате:
sentiment: [значение]
impact_strength: [значение]
mention_focus: [значение]

Далее текст новости, которую нужно оценить:
По итогам всех сессий бумаги Лукойл выросли на 10.85%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.
","sentiment: 0.54
impact_strength: 0.81
mention_focus: 0.94"
"
Ты — финансовый аналитик. Оцени следующую новость относительно её влияния на стоимость акций компании ПИК.

Заполни три признака:

1. sentiment — тон новости относительно компании (от -1.00 - отрицательный до +1.00 - положительный)
2. impact_strength — сила потенциального влияния на цену акций (от 0.00 - не влияет до 1.00 - сильно влияет)
3. mention_focus — насколько явно и подробно упоминается компания (от 0.00 - не упомянута до 1.00 - явно и подробно)

Ответ в формате:
sentiment: [значение]
impact_strength: [значение]
mention_focus: [значение]

Далее текст новости, которую нужно оценить:
ПИК фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Торговые объемы на бирже были выше средних за последние три месяца.
","sentiment: 0.18
impact_strength: 0.35
mention_focus: 0.13"
