subject_name,news_text,sentiment,impact_strength,mention_focus
Транснефть,"Транснефть фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Отчетность компании превзошла консенсус-прогнозы аналитиков.",0.95,0.93,0.39
Юнипро,"Аналитики отмечают устойчивость Юнипро на фоне волатильности индекса МосБиржи, бумаги изменились на 10.65%. Торговые объемы на бирже были выше средних за последние три месяца.",0.13,0.08,0.85
Магнит,"Магнит фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",-0.74,0.18,0.19
Делимобиль,Новости о дивидендах способствовали росту акций Делимобиль на 13.02%. На фоне геополитической неопределенности инвесторы проявляют осторожность. Отчетность компании превзошла консенсус-прогнозы аналитиков. Торговые объемы на бирже были выше средних за последние три месяца. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.,-0.92,0.45,0.96
ИКС 5,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции ИКС 5, потерявшие 3.55%. Торговые объемы на бирже были выше средних за последние три месяца. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",-0.81,0.3,0.64
ВТБ,Новости о дивидендах способствовали росту акций ВТБ на 4.84%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. На фоне геополитической неопределенности инвесторы проявляют осторожность. На фоне геополитической неопределенности и,0.39,0.39,0.68
Татнефть,"Несмотря на сильную отчетность, акции Татнефть снизились на 14.29%, что связано с общим настроением на рынке. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.",-1.0,0.3,0.96
Аэрофлот,"Падение цен на нефть спровоцировало снижение котировок многих компаний, включая Аэрофлот, акции которой потеряли 12.32%. Отчетность компании превзошла консенсус-прогнозы аналитиков. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.",-0.82,0.82,0.68
Лукойл,"По итогам всех сессий бумаги Лукойл выросли на 10.85%, оказавшись в числе лидеров роста благодаря позитивным ожиданиям инвесторов. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной.",0.54,0.81,0.94
ПИК,"ПИК фигурировала в обзоре рынка, однако основной акцент был сделан на другие отрасли, а сама компания показала незначительное изменение стоимости акций. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Торговые объемы на бирже были выше средних за последние три месяца.",0.18,0.35,0.13
Делимобиль,Новости о дивидендах способствовали росту акций Делимобиль на 1.28%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса.,0.47,0.1,1.0
Лукойл,"Несмотря на сильную отчетность, акции Лукойл снизились на 9.87%, что связано с общим настроением на рынке. Публикация данных о дивидендах вызвала положительную реакцию на рынке. Отчетность компании превзошла консенсус-прогнозы аналитиков. Торговые объемы на бирже были выше средних за последние три месяца. Инвес",-0.01,0.71,0.72
СПБ Биржа,"СПБ Биржа упоминалась среди крупнейших компаний на фоне ожиданий по смягчению монетарной политики, однако внимание аналитиков было сосредоточено на других активах. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. На фоне геополитической неопределенности инвесторы проявляют осторожность.",-0.76,0.27,0.26
ПИК,"На фоне публикации сильного отчета за 2022 год акции ПИК показали рост на 5.79%. Торговые объемы на бирже были выше средних за последние три месяца. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Эксперты предупреждают о возможной фиксации прибыли инвесторами.",0.67,0.36,0.85
Газпром,"На фоне публикации сильного отчета за 2022 год акции Газпром показали рост на 9.25%. Несмотря на позитивные отчеты, общая рыночная конъюнктура остается сдержанной. Падение цен на нефть продолжает оказывать давление на нефтяной сектор.",-0.47,0.43,0.68
Магнит,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции Магнит, потерявшие 2.15%. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса. Аналитики предполагают возможность дальнейшего роста акций в ближайшие недели.",-0.39,0.19,0.87
Газпром,"Индекс МосБиржи закрылся снижением на фоне падения цен на нефть. Среди аутсайдеров дня оказались акции Газпром, потерявшие 5.84%. Падение цен на нефть продолжает оказывать давление на нефтяной сектор. Эксперты предупреждают о возможной фиксации прибыли инвесторами. Отчетность компании превзошла консенсус-прогнозы аналитиков. Инвесторы позитивно отреагировали на инициативы по повышению прозрачности бизнеса.",-0.55,0.65,0.65
